Unnamed: 0,ltable_id,rtable_id,label,prompt1_en_short_temp_0_gpt3.5-0301,match_prompt_manual_fewshot_1_eval2_temp_0_gpt3.5_0301
0,363,2854,True,True,True
1,1269,1433,True,True,True
2,63,2129,True,True,False
3,540,5,True,True,True
4,1262,192,True,True,True
5,1320,685,True,False,False
6,1092,978,True,True,True
7,1214,549,True,False,True
8,1026,2327,True,False,False
9,594,606,True,True,True
10,606,2165,True,True,True
11,1206,537,True,True,True
12,537,895,True,True,True
13,1272,1048,True,True,True
14,1272,1342,True,True,True
15,1185,562,True,True,True
16,562,954,True,False,False
17,1354,593,True,False,True
18,593,151,True,True,True
19,1099,767,True,True,True
20,1099,2425,True,True,True
21,1258,2402,True,True,True
22,1258,1044,True,True,True
23,1331,638,True,False,False
24,638,327,True,False,True
25,749,345,True,True,False
26,345,1520,True,True,True
27,273,8,True,True,False
28,8,1936,True,True,True
29,1326,678,True,False,True
30,678,260,True,True,True
31,1190,1026,True,True,True
32,1190,2426,True,True,True
33,1243,517,True,False,False
34,517,986,True,True,True
35,517,2649,True,True,True
36,736,4,True,True,True
37,4,1905,True,True,False
38,1324,674,True,True,False
39,674,256,True,False,True
40,839,331,False,False,False
41,264,331,False,False,False
42,559,331,False,False,False
43,615,331,False,False,False
44,543,331,False,False,False
45,516,331,False,False,False
46,331,3106,False,False,False
47,1353,3021,False,False,False
48,1353,1475,False,False,False
49,6,327,False,False,False
50,490,327,False,False,False
51,559,324,False,True,False
52,892,324,False,False,False
53,1186,324,False,False,False
54,1322,324,False,False,False
55,876,324,False,False,False
56,452,324,False,False,False
57,324,2064,False,False,False
58,324,2982,False,False,False
59,1195,1342,False,False,False
60,1246,1341,False,False,True
61,1341,3021,False,False,False
62,1341,2062,False,False,False
63,1341,3016,False,False,False
64,1341,2851,False,False,False
65,866,314,False,False,False
66,1334,3161,False,False,False
67,1334,430,False,True,True
68,1334,1146,False,False,True
69,310,2161,False,False,False
70,310,2008,False,False,False
71,515,307,False,False,False
72,1341,307,False,False,False
73,389,307,False,False,False
74,1326,2105,False,False,False
75,1324,1115,False,False,False
76,1246,1321,False,False,True
77,1321,1475,False,False,False
78,1321,307,False,False,False
79,146,2853,False,False,False
80,490,2853,False,False,False
81,544,2853,False,False,False
82,858,2853,False,False,False
83,605,2853,False,False,False
84,645,2853,False,False,False
85,492,2853,False,False,False
86,570,2853,False,False,False
87,27,2853,False,False,False
88,859,802,False,False,False
89,604,2850,False,False,False
90,781,2850,False,False,True
91,823,2850,False,False,True
92,1179,2850,False,False,False
93,93,2850,False,False,False
94,587,2848,False,False,False
95,604,2848,False,False,False
96,371,2848,False,False,False
97,423,2847,False,False,False
98,753,2847,False,False,False
99,371,2847,False,False,False
100,1145,2847,False,False,False
101,12,2847,False,False,False
102,1075,797,False,False,False
103,797,457,False,False,False
104,779,792,False,False,False
105,1264,792,False,False,False
106,1257,792,False,False,False
107,559,2839,False,False,False
108,892,2839,False,False,False
109,536,2839,False,False,False
110,817,2839,False,False,False
111,1148,2839,False,False,False
112,930,2839,False,False,False
113,1021,2839,False,False,False
114,951,2839,False,False,False
115,802,2327,False,False,False
116,605,2837,False,False,False
117,371,2837,False,False,False
118,578,2837,False,False,False
119,271,2837,False,False,False
120,522,2837,False,False,False
121,577,2837,False,False,False
122,1300,840,False,True,True
123,1300,9,False,True,True
124,753,273,False,False,False
125,614,273,False,False,False
126,523,273,False,False,False
127,888,273,False,False,False
128,1105,783,False,False,True
129,1275,783,False,False,False
130,851,783,False,False,False
131,270,2177,False,False,False
132,270,1447,False,False,False
133,270,3060,False,False,False
134,270,3164,False,False,False
135,270,1148,False,False,True
136,270,1007,False,False,False
137,270,2141,False,False,False
138,267,263,False,False,False
139,267,444,False,False,False
140,267,145,False,False,False
141,267,1595,False,False,False
142,267,2807,False,False,False
143,267,3213,False,False,True
144,267,1180,False,False,False
145,267,639,False,False,False
146,267,190,False,False,False
147,1290,3056,False,False,False
148,1290,204,False,False,False
149,1290,2490,False,False,False
150,1290,2765,False,False,False
151,1290,1057,False,False,True
152,1287,792,False,False,False
153,1287,1052,False,False,False
154,1287,2510,False,False,False
155,1287,2744,False,True,True
156,1287,2065,False,False,False
157,1287,1039,False,False,False
158,1287,1733,False,False,True
159,168,2820,False,False,False
160,1321,260,False,False,False
161,1353,260,False,False,False
162,515,260,False,False,False
163,971,260,False,False,False
164,535,2818,False,False,False
165,371,2818,False,False,False
166,251,2818,False,False,False
167,605,2818,False,False,False
168,518,2818,False,False,False
169,514,2818,False,False,False
170,496,2818,False,False,True
171,333,257,False,False,False
172,553,257,False,False,False
173,608,257,False,False,False
174,1272,1028,False,False,False
175,1272,2399,False,False,False
176,1272,783,False,False,False
177,1272,1039,False,False,False
178,1272,1083,False,False,False
179,1272,1062,False,False,False
180,1272,2490,False,False,True
181,1269,1062,False,False,True
182,1269,2765,False,False,True
183,1269,2085,False,False,False
184,1269,2065,False,False,False
185,1269,1083,False,False,True
186,597,242,False,False,False
187,553,242,False,False,False
188,350,242,False,False,False
189,465,242,False,False,False
190,797,2799,False,False,False
191,582,2799,False,False,True
192,546,750,False,False,False
193,484,750,False,False,False
194,267,750,False,False,False
195,750,330,False,False,False
196,1262,2860,False,False,False
197,1262,531,False,False,False
198,1262,368,False,False,False
199,1262,448,False,False,True
200,1262,358,False,False,False
201,1262,352,False,True,True
202,1262,984,False,False,False
203,1262,3161,False,False,False
204,1262,324,False,False,False
205,1262,367,False,False,False
206,1262,893,False,False,False
207,1258,2490,False,False,False
208,1258,1032,False,False,False
209,1258,2273,False,False,False
210,1258,1083,False,False,False
211,1258,1040,False,False,True
212,1251,314,False,False,True
213,1251,558,False,False,False
214,225,2837,False,False,False
215,225,998,False,False,False
216,225,3175,False,False,False
217,225,1518,False,False,False
218,225,2137,False,True,True
219,225,2411,False,True,True
220,225,1170,False,False,False
221,225,1001,False,False,False
222,225,2847,False,False,False
223,225,3171,False,False,False
224,225,1162,False,False,False
225,225,3204,False,False,False
226,737,1180,False,False,False
227,737,639,False,False,False
228,737,371,False,False,False
229,736,3032,False,False,True
230,736,902,False,False,False
231,736,955,False,False,False
232,736,1213,False,False,False
233,736,2212,False,False,False
234,736,257,False,False,False
235,736,2193,False,False,False
236,736,324,False,False,False
237,736,893,False,False,False
238,736,338,False,False,False
239,736,954,False,False,True
240,736,372,False,False,True
241,736,2393,False,True,True
242,527,216,False,False,False
243,382,216,False,False,False
244,883,216,False,False,False
245,642,216,False,False,False
246,608,216,False,False,False
247,216,923,False,False,False
248,216,1564,False,False,False
249,216,430,False,False,False
250,216,372,False,False,False
251,578,2257,False,False,False
252,1251,1738,False,True,True
253,216,192,False,False,False
254,866,192,False,False,False
255,6,192,False,False,False
256,608,192,False,False,False
257,270,192,False,False,False
258,532,1214,False,False,False
259,273,1214,False,False,False
260,539,1214,False,False,False
261,993,1214,False,False,False
262,1198,1214,False,False,False
263,167,2850,False,False,False
264,1008,1190,False,False,False
265,648,1190,False,False,False
266,79,1190,False,False,False
267,1190,1040,False,True,True
268,1190,107,False,True,False
269,1190,1485,False,False,False
270,1190,2008,False,False,False
271,1190,2752,False,True,True
272,1190,2399,False,True,True
273,1190,2009,False,False,False
274,1190,2447,False,True,True
275,678,845,False,False,False
